dataset,zone,regime,model,anchor_model,residual_shrinkage,spike_threshold,mae,rmse,smape,n,anchor_rmse,anchor_mae,rmse_improvement_pct_vs_anchor,mae_improvement_pct_vs_anchor
OPSD,DK_2,non_spike,Selected anchor: NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.880000000000003,2.2355876989226195,3.779457842750628,11.922192701623944,8331,3.779457842750628,2.2355876989226195,0.0,0.0
OPSD,DK_2,non_spike,TDConv-inclusive GraphPatch residual,NLinear-style sequence ridge,0.6000000000000001,16.880000000000003,2.2047317720079147,3.727144451196647,11.767011630173865,8331,3.779457842750628,2.2355876989226195,1.3841506832606392,1.380215454288598
OPSD,GB_GBN,all,DLinear-style sequence ridge,TDConv-style sequence ridge,0.0,17.08,3.006519304380879,4.4044129077017224,11.813047525524121,10016,4.503334106223148,3.149758828896495,2.1966213518274555,4.547634669724828
OPSD,GB_GBN,all,NLinear-style sequence ridge,TDConv-style sequence ridge,0.0,17.08,3.002758590098285,4.390874268069165,11.768595136084006,10016,4.503334106223148,3.149758828896495,2.497257265424188,4.667031566023447
OPSD,GB_GBN,all,TDConv-style sequence ridge,TDConv-style sequence ridge,0.0,17.08,3.149758828896495,4.503334106223148,12.369673978581229,10016,4.503334106223148,3.149758828896495,0.0,0.0
OPSD,GB_GBN,all,Selected anchor: TDConv-style sequence ridge,TDConv-style sequence ridge,0.0,17.08,3.149758828896495,4.503334106223148,12.369673978581229,10016,4.503334106223148,3.149758828896495,0.0,0.0
OPSD,GB_GBN,all,TDConv-inclusive GraphPatch residual,TDConv-style sequence ridge,0.5,17.08,3.013827441407275,4.34379099176427,11.789845470891471,10016,4.503334106223148,3.149758828896495,3.5427776553022308,4.315612555544217
OPSD,GB_GBN,spike,DLinear-style sequence ridge,TDConv-style sequence ridge,0.0,17.08,6.162045740672872,8.678726565392065,34.518276927584225,767,8.449395022616908,5.926693497012314,-2.714177076125493,-3.9710547504979092
OPSD,GB_GBN,spike,NLinear-style sequence ridge,TDConv-style sequence ridge,0.0,17.08,6.1357080824299155,8.608486105845829,34.26228781807165,767,8.449395022616908,5.926693497012314,-1.8828695167295868,-3.526664328482095
OPSD,GB_GBN,spike,TDConv-style sequence ridge,TDConv-style sequence ridge,0.0,17.08,5.926693497012314,8.449395022616908,32.296426295940044,767,8.449395022616908,5.926693497012314,0.0,0.0
OPSD,GB_GBN,spike,Selected anchor: TDConv-style sequence ridge,TDConv-style sequence ridge,0.0,17.08,5.926693497012314,8.449395022616908,32.296426295940044,767,8.449395022616908,5.926693497012314,0.0,0.0
OPSD,GB_GBN,spike,TDConv-inclusive GraphPatch residual,TDConv-style sequence ridge,0.5,17.08,5.9498168720740665,8.470411530738831,31.431440202921063,767,8.449395022616908,5.926693497012314,-0.24873388054016612,-0.39015641813447877
OPSD,GB_GBN,non_spike,DLinear-style sequence ridge,TDConv-style sequence ridge,0.0,17.08,2.744838173811525,3.8420575506941517,9.930150893306573,9249,4.005169990199436,2.919473512597994,4.072547230315235,5.981740818434886
OPSD,GB_GBN,non_spike,NLinear-style sequence ridge,TDConv-style sequence ridge,0.0,17.08,2.742949717720908,3.8383787487336463,9.903240796470584,9249,4.005169990199436,2.919473512597994,4.164398561707095,6.046425635148172
OPSD,GB_GBN,non_spike,TDConv-style sequence ridge,TDConv-style sequence ridge,0.0,17.08,2.919473512597994,4.005169990199436,10.71719057200601,9249,4.005169990199436,2.919473512597994,0.0,0.0
OPSD,GB_GBN,non_spike,Selected anchor: TDConv-style sequence ridge,TDConv-style sequence ridge,0.0,17.08,2.919473512597994,4.005169990199436,10.71719057200601,9249,4.005169990199436,2.919473512597994,0.0,0.0
OPSD,GB_GBN,non_spike,TDConv-inclusive GraphPatch residual,TDConv-style sequence ridge,0.5,17.08,2.770352050195098,3.8056993395200074,10.161009579501405,9249,4.005169990199436,2.919473512597994,4.980329203692446,5.107820357314877
