dataset,protocol,fold,zone,regime,model,blend_weight_mlp,cal_objective,spike_threshold,mae,rmse,smape,n,local_rmse,local_mae,rmse_improvement_pct,mae_improvement_pct
OPSD,rolling_origin,R2,DK_1,all,Local ridge,,,16.91,2.781774390182689,4.311506890492222,12.078594289206533,5021,4.311506890492222,2.781774390182689,0.0,0.0
OPSD,rolling_origin,R2,DK_1,all,Rolling GraphPatch blend,0.9,5.551299770172019,16.91,2.250479058214276,3.6023599946670313,10.716948175167424,5021,4.311506890492222,2.781774390182689,16.4477736864809,19.099152463385817
OPSD,rolling_origin,R2,DK_1,spike,Local ridge,,,16.91,4.8977005478316205,6.877323942486711,40.90938531516998,636,6.877323942486711,4.8977005478316205,0.0,0.0
OPSD,rolling_origin,R2,DK_1,spike,Rolling GraphPatch blend,0.9,5.551299770172019,16.91,4.1643851720432865,5.975608247270087,38.097042317950816,636,6.877323942486711,4.8977005478316205,13.111432626373865,14.972646216865948
OPSD,rolling_origin,R2,DK_1,non_spike,Local ridge,,,16.91,2.4748806532922165,3.7980540371458265,7.896978988747525,4385,3.7980540371458265,2.4748806532922165,0.0,0.0
OPSD,rolling_origin,R2,DK_1,non_spike,Rolling GraphPatch blend,0.9,5.551299770172019,16.91,1.9728862900511626,3.1112875777970497,6.745741818312181,4385,3.7980540371458265,2.4748806532922165,18.08206130381626,20.28357862724712
OPSD,rolling_origin,R3,DK_1,all,Local ridge,,,18.08,2.687146575833134,4.13687821834905,14.466511822668767,5021,4.13687821834905,2.687146575833134,0.0,0.0
OPSD,rolling_origin,R3,DK_1,all,Rolling GraphPatch blend,0.9,4.715904820829162,18.08,2.359672587009085,3.6009871850856117,13.75657285337912,5021,4.13687821834905,2.687146575833134,12.953995863027906,12.186681283752353
OPSD,rolling_origin,R3,DK_1,spike,Local ridge,,,18.08,3.896327519743966,5.52092009344732,27.602094093969104,576,5.52092009344732,3.896327519743966,0.0,0.0
OPSD,rolling_origin,R3,DK_1,spike,Rolling GraphPatch blend,0.9,4.715904820829162,18.08,3.396931761110674,4.734522864658844,25.663865585858915,576,5.52092009344732,3.896327519743966,14.243952375290428,12.817088812546954
OPSD,rolling_origin,R3,DK_1,non_spike,Local ridge,,,18.08,2.5304563117852963,3.921943520806363,12.764353130144809,4445,3.921943520806363,2.5304563117852963,0.0,0.0
OPSD,rolling_origin,R3,DK_1,non_spike,Rolling GraphPatch blend,0.9,4.715904820829162,18.08,2.2252605995439523,3.426765741654985,12.213580589282753,4445,3.921943520806363,2.5304563117852963,12.625826367065276,12.06089632213493
OPSD,rolling_origin,R1,DK_2,all,Local ridge,,,15.720000000000002,3.312573900379855,5.137842606762292,9.107461036042952,5021,5.137842606762292,3.312573900379855,0.0,0.0
