dataset,target_client,model,protocol,adapt_days,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_314,Target-linear-1d,target-only lag-calendar ridge,1,111.32600110555997,155.785333558597,11.866934053265577,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,SSL-MR-lag+adapter-3d,frozen source representation with target adapter,3,62.54739518639833,83.97656348762693,6.6804641833634175,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Target-linear-3d,target-only lag-calendar ridge,3,105.21877847678269,140.86940927143513,11.919628477482325,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,SSL-MR-lag+adapter-7d,frozen source representation with target adapter,7,46.729500907477394,65.89273635825937,5.1085766146664255,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Target-linear-7d,target-only lag-calendar ridge,7,55.14531794875528,82.56223323384583,5.870533479701452,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,SSL-MR-lag+adapter-28d,frozen source representation with target adapter,28,43.5212387040003,63.428051723884245,4.695750577360489,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Target-linear-28d,target-only lag-calendar ridge,28,50.468754282803246,77.6254606780321,5.349698156556074,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Seasonal-24h,zero-label seasonal,0,34.74964939338574,78.54758812070999,7.7917455796502475,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Seasonal-168h,zero-label seasonal,0,50.175104683724,87.48884963519447,10.773676265540356,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,SSL-MR-lag-source-head,zero-label source representation,0,30.062772721199824,48.05607248440076,7.388648256909246,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,SSL-MR-lag+adapter-1d,frozen source representation with target adapter,1,30.788129994217368,49.23931694636663,7.822536515970216,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Target-linear-1d,target-only lag-calendar ridge,1,37.614580610085675,79.48749647170446,8.857764391873049,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,SSL-MR-lag+adapter-3d,frozen source representation with target adapter,3,38.41778149264186,55.052205384053835,12.8293291703439,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Target-linear-3d,target-only lag-calendar ridge,3,55.31936059593402,80.85512966949257,21.53209853969698,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,SSL-MR-lag+adapter-7d,frozen source representation with target adapter,7,29.780937892693213,47.99554488596558,7.365686275325823,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Target-linear-7d,target-only lag-calendar ridge,7,32.493303995670196,66.63534616449321,7.479507820213251,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,SSL-MR-lag+adapter-28d,frozen source representation with target adapter,28,29.735304878396935,47.4039782265714,7.426846458016138,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Target-linear-28d,target-only lag-calendar ridge,28,32.212690637154886,70.52424669000546,7.3195933044966965,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Seasonal-24h,zero-label seasonal,0,56.93659528096517,104.97665642863868,7.50873208571903,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Seasonal-168h,zero-label seasonal,0,70.86790593465169,115.58572641778778,8.639020751807921,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SSL-MR-lag-source-head,zero-label source representation,0,37.99305919070589,58.57095509285282,5.1033267302955325,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SSL-MR-lag+adapter-1d,frozen source representation with target adapter,1,40.307076552634726,60.740023651603856,5.384631020782178,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Target-linear-1d,target-only lag-calendar ridge,1,60.629052258983805,95.19181704764299,7.645595362059949,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SSL-MR-lag+adapter-3d,frozen source representation with target adapter,3,56.04980278230682,75.60983118229797,7.7730860472411925,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Target-linear-3d,target-only lag-calendar ridge,3,91.54763633706318,119.59803922768795,12.830516002727807,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SSL-MR-lag+adapter-7d,frozen source representation with target adapter,7,37.70749337404671,58.394141883240685,5.058161825304175,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Target-linear-7d,target-only lag-calendar ridge,7,45.59866984827003,73.67351612903079,5.846088991432598,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SSL-MR-lag+adapter-28d,frozen source representation with target adapter,28,36.95521067752247,57.768833281590766,4.984076152353014,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Target-linear-28d,target-only lag-calendar ridge,28,44.995046513620714,72.72628096076372,5.793125922015372,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Seasonal-24h,zero-label seasonal,0,47.013798720594764,76.54855904054796,11.157272993751043,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Seasonal-168h,zero-label seasonal,0,48.941721142202184,77.22117805495913,10.892487744638979,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SSL-MR-lag-source-head,zero-label source representation,0,34.728040704127295,49.07709204712232,8.052989674425062,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SSL-MR-lag+adapter-1d,frozen source representation with target adapter,1,34.98319388246809,49.45300376318192,8.147730456524462,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Target-linear-1d,target-only lag-calendar ridge,1,44.37071989851788,67.2068493180375,10.662551646393554,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SSL-MR-lag+adapter-3d,frozen source representation with target adapter,3,38.157090152613385,52.4704168568737,9.070001788917919,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Target-linear-3d,target-only lag-calendar ridge,3,52.649796018452086,74.69255112319709,12.70441558510012,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SSL-MR-lag+adapter-7d,frozen source representation with target adapter,7,34.47856753081928,48.9709830454686,8.006457428330853,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Target-linear-7d,target-only lag-calendar ridge,7,39.89148132919844,61.23330705417883,9.287361170225212,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SSL-MR-lag+adapter-28d,frozen source representation with target adapter,28,34.5311885051723,48.80435919011239,8.070323491335648,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Target-linear-28d,target-only lag-calendar ridge,28,38.43228056563567,56.879375097045454,8.906675025656389,2208
