dataset,target_client,model,protocol,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_355,SSL-MR-lag+target-head-28d,frozen representation with target head,48.40862412104648,73.46252528657004,10.253526053490875,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SSL-MR-lag-source-head,source-only frozen representation,61.09905673096836,86.08209090268468,5.505761340459061,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SSL-MR-lag+adapter-7d,frozen representation with target adapter,60.724283407417296,85.35040655946506,5.497540051761731,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SSL-MR-lag+target-head-7d,frozen representation with target head,720.088278483007,873.1263375354564,96.74057419829289,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SSL-MR-lag+adapter-28d,frozen representation with target adapter,60.9686365524376,85.68456425250687,5.531252212113071,2208
UCI Electricity Load Diagrams 2011-2014,MT_166,SSL-MR-lag+target-head-28d,frozen representation with target head,160.47818228484522,196.58798877580384,17.083697271188694,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,SSL-MR-lag-source-head,source-only frozen representation,105.07595445999854,150.05275062400625,4.550844026516645,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,SSL-MR-lag+adapter-7d,frozen representation with target adapter,106.83186238563081,149.62609991010274,4.622653545564625,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,SSL-MR-lag+target-head-7d,frozen representation with target head,144.49631762429723,188.97894042146197,6.354561183693318,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,SSL-MR-lag+adapter-28d,frozen representation with target adapter,103.11867889083304,147.02273498265677,4.465801909002129,2208
UCI Electricity Load Diagrams 2011-2014,MT_163,SSL-MR-lag+target-head-28d,frozen representation with target head,90.02129832347991,129.26573441235047,3.8867420508716983,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,SSL-MR-lag-source-head,source-only frozen representation,38.26633182879901,54.16865262026867,8.666026285626254,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,SSL-MR-lag+adapter-7d,frozen representation with target adapter,37.14521353805692,53.46963853480263,8.477535438180904,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,SSL-MR-lag+target-head-7d,frozen representation with target head,186.3342090500274,249.22403548300923,42.2943181441747,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,SSL-MR-lag+adapter-28d,frozen representation with target adapter,37.43123819337286,53.67934540688913,8.6139634531747,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,SSL-MR-lag+target-head-28d,frozen representation with target head,34.05604736705536,54.39853839099538,7.137100307277966,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,SSL-MR-lag-source-head,source-only frozen representation,50.485062337226964,74.2244033284767,4.7174380293965905,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,SSL-MR-lag+adapter-7d,frozen representation with target adapter,50.31641588064765,74.21763327695939,4.708192361145127,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,SSL-MR-lag+target-head-7d,frozen representation with target head,529.8377421355248,646.4899638204209,76.36709321810746,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,SSL-MR-lag+adapter-28d,frozen representation with target adapter,49.81429294019249,73.18417263977724,4.6599006006042165,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,SSL-MR-lag+target-head-28d,frozen representation with target head,50.09105044392099,71.88227986267746,4.724327136471648,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,SSL-MR-lag-source-head,source-only frozen representation,76.47485278805594,104.86042640272375,6.558889852942425,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,SSL-MR-lag+adapter-7d,frozen representation with target adapter,76.6417139870357,105.29735130148156,6.581342177589377,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,SSL-MR-lag+target-head-7d,frozen representation with target head,529.7764463422551,706.1882787968087,65.72557132603934,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,SSL-MR-lag+adapter-28d,frozen representation with target adapter,76.33033614389986,104.92662819232983,6.548717327794333,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,SSL-MR-lag+target-head-28d,frozen representation with target head,189.9843523806653,242.18937213109285,18.516862070686283,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,SSL-MR-lag-source-head,source-only frozen representation,43.615540285793884,63.43376763433777,4.653296326115663,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,SSL-MR-lag+adapter-7d,frozen representation with target adapter,46.729500907477394,65.89273635825937,5.1085766146664255,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,SSL-MR-lag+target-head-7d,frozen representation with target head,859.8132089971295,1014.0102138592446,59.24739026865269,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,SSL-MR-lag+adapter-28d,frozen representation with target adapter,43.5212387040003,63.428051723884245,4.695750577360489,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,SSL-MR-lag+target-head-28d,frozen representation with target head,47.787189058254626,71.13101250666244,5.133617722956632,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,SSL-MR-lag-source-head,source-only frozen representation,30.062772721199824,48.05607248440076,7.388648256909246,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,SSL-MR-lag+adapter-7d,frozen representation with target adapter,29.780937892693213,47.99554488596558,7.365686275325823,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,SSL-MR-lag+target-head-7d,frozen representation with target head,96.68162018201856,141.90456072350312,29.201429308376014,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,SSL-MR-lag+adapter-28d,frozen representation with target adapter,29.735304878396935,47.4039782265714,7.426846458016138,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,SSL-MR-lag+target-head-28d,frozen representation with target head,32.471936768694775,64.32307455026735,8.566003684928948,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SSL-MR-lag-source-head,source-only frozen representation,37.99305919070589,58.57095509285282,5.1033267302955325,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SSL-MR-lag+adapter-7d,frozen representation with target adapter,37.70749337404671,58.394141883240685,5.058161825304175,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SSL-MR-lag+target-head-7d,frozen representation with target head,1027.6717289703897,1206.2373073055123,77.67281335460851,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SSL-MR-lag+adapter-28d,frozen representation with target adapter,36.95521067752247,57.768833281590766,4.984076152353014,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SSL-MR-lag+target-head-28d,frozen representation with target head,43.986985581434915,65.4715439747569,5.831118098493537,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SSL-MR-lag-source-head,source-only frozen representation,34.728040704127295,49.07709204712232,8.052989674425062,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SSL-MR-lag+adapter-7d,frozen representation with target adapter,34.47856753081928,48.9709830454686,8.006457428330853,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SSL-MR-lag+target-head-7d,frozen representation with target head,227.55140707303323,350.9374301473911,38.891610379210164,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SSL-MR-lag+adapter-28d,frozen representation with target adapter,34.5311885051723,48.80435919011239,8.070323491335648,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SSL-MR-lag+target-head-28d,frozen representation with target head,36.10580773699997,51.76007375310081,8.80770515628026,2208
