dataset,target_client,model,protocol,adapt_days,source_validation_rmse_normalized,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_314,SourceMLP-hidden-target-head-7d,frozen source-trained hidden representation with target ridge head,7,0.09172190725803375,241.03042177032404,290.1210690148328,23.297933291195296,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,SourceMLP-target-ridge-features-7d,target-only ridge on SourceMLP input features,7,0.09172190725803375,642.8287288298889,757.9625650427962,49.384390473405205,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,SourceMLP+adapter-28d,source-trained neural encoder with target adapter,28,0.09172190725803375,53.87520283969422,73.55096277228603,5.942006281925803,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,SourceMLP-hidden-target-head-28d,frozen source-trained hidden representation with target ridge head,28,0.09172190725803375,64.170975816072,86.2190020020816,7.134623684884274,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,SourceMLP-target-ridge-features-28d,target-only ridge on SourceMLP input features,28,0.09172190725803375,51.812024261787776,75.30039759835533,5.666566424058255,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,SourceMLP-source-head,source-trained one-hidden-layer neural encoder,0,0.09172190725803375,31.316268656996712,45.018064427389106,9.930827887357143,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,SourceMLP+adapter-7d,source-trained neural encoder with target adapter,7,0.09172190725803375,32.33132516139744,47.16262107142307,9.482172809683528,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,SourceMLP-hidden-target-head-7d,frozen source-trained hidden representation with target ridge head,7,0.09172190725803375,65.74342644887182,102.05561788396624,18.15146777321008,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,SourceMLP-target-ridge-features-7d,target-only ridge on SourceMLP input features,7,0.09172190725803375,119.80055571980391,168.0271236143163,33.882172789830236,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,SourceMLP+adapter-28d,source-trained neural encoder with target adapter,28,0.09172190725803375,32.6024918554824,46.739928651483204,9.872347640011734,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,SourceMLP-hidden-target-head-28d,frozen source-trained hidden representation with target ridge head,28,0.09172190725803375,33.517366313138915,49.34473863387935,9.631963778023508,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,SourceMLP-target-ridge-features-28d,target-only ridge on SourceMLP input features,28,0.09172190725803375,24.609343919461125,40.41582137573101,7.253214755015884,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SourceMLP-source-head,source-trained one-hidden-layer neural encoder,0,0.09172190725803375,51.635520078133844,70.97461920196221,6.7675995706921395,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SourceMLP+adapter-7d,source-trained neural encoder with target adapter,7,0.09172190725803375,50.23616836240652,69.50100707395283,6.49774626574535,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SourceMLP-hidden-target-head-7d,frozen source-trained hidden representation with target ridge head,7,0.09172190725803375,124.41687851727313,156.8205325323391,15.240753451471178,2208
