dataset,target_client,model,protocol,adapt_days,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_222,RC-lag-source-head,random-convolution source representation,0,33.99624116599268,51.88959813438582,4.545154417427751,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Seasonal-24h,zero-label seasonal,0,56.93659528096517,104.97665642863868,7.50873208571903,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Seasonal-168h,zero-label seasonal,0,70.86790593465169,115.58572641778778,8.639020751807921,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,RC-lag+adapter-1d,random-convolution representation with target adapter,1,39.15306366370539,57.503680738787025,5.137290365937782,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Target-linear-1d,target-only lag-calendar ridge,1,60.629052258983805,95.19181704764299,7.645595362059949,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,RC-lag+adapter-3d,random-convolution representation with target adapter,3,49.43305901239152,66.08524803455956,6.7482910524093445,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Target-linear-3d,target-only lag-calendar ridge,3,91.54763633706318,119.59803922768795,12.830516002727807,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,RC-lag+adapter-7d,random-convolution representation with target adapter,7,34.407990153393726,52.553752660501075,4.585617373313297,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Target-linear-7d,target-only lag-calendar ridge,7,45.59866984827003,73.67351612903079,5.846088991432598,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,RC-lag+adapter-28d,random-convolution representation with target adapter,28,33.69249925164886,51.68429380455462,4.520462918032493,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Target-linear-28d,target-only lag-calendar ridge,28,44.995046513620714,72.72628096076372,5.793125922015372,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,RC-lag-source-head,random-convolution source representation,0,31.375169610160928,45.61872378703694,7.488991808311603,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Seasonal-24h,zero-label seasonal,0,47.013798720594764,76.54855904054796,11.157272993751043,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Seasonal-168h,zero-label seasonal,0,48.941721142202184,77.22117805495913,10.892487744638979,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,RC-lag+adapter-1d,random-convolution representation with target adapter,1,31.582248565096,45.808897724938426,7.535659182700671,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Target-linear-1d,target-only lag-calendar ridge,1,44.37071989851788,67.2068493180375,10.662551646393554,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,RC-lag+adapter-3d,random-convolution representation with target adapter,3,35.73322236372416,49.384128156847325,8.559723169351907,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Target-linear-3d,target-only lag-calendar ridge,3,52.649796018452086,74.69255112319709,12.70441558510012,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,RC-lag+adapter-7d,random-convolution representation with target adapter,7,31.146071726760486,45.564131879305926,7.36831724683778,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Target-linear-7d,target-only lag-calendar ridge,7,39.89148132919844,61.23330705417883,9.287361170225212,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,RC-lag+adapter-28d,random-convolution representation with target adapter,28,31.360542711737352,45.63639126142614,7.4825220106349395,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Target-linear-28d,target-only lag-calendar ridge,28,38.43228056563567,56.879375097045454,8.906675025656389,2208
