seed,dataset,target_client,model,protocol,adapt_days,mae,rmse,smape,n
20260713,UCI Electricity Load Diagrams 2011-2014,MT_218,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,41.22332327825765,62.45045122865382,3.8831830788936634,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_043,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,72.23233098881988,99.1746323094273,6.252131229077258,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_043,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,72.42193060919841,99.57501607771735,6.264772607740891,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,35.95011261806855,55.21265870672522,3.8615712005987026,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,36.29625419621183,55.24887468617517,3.926876236028055,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,20.72181399018076,34.74077350011683,5.375116507625309,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,20.687679510580054,33.97095460035436,5.493212242091175,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,32.32635929812362,50.055327162943506,4.319630766614378,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,31.847278562604817,49.67596133540989,4.272035787775885,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,29.73711858439422,44.17112798490704,7.070911736908359,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,29.841378765094397,44.07133299291591,7.156747894766391,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,31.819761155954446,54.682449717406094,6.3210552480394675,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,31.421547851970082,54.109782109365675,6.509441921605169,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,55.964416971659176,77.99712213576778,4.9834739072131695,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,56.485332321468455,78.23953751217373,5.099439446084859,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,91.99644787601228,134.15574506170918,3.9878570474086925,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,90.76391544943553,132.63411302361226,3.9367523927416395,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_101,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,26.090905344197076,44.643265984617074,5.598393029496649,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_101,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,26.208202950347086,44.42159478846112,5.795377742733515,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_218,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,41.17221903663828,62.8972047191858,3.881676555827138,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_218,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,41.1785043014465,62.38400667656009,3.8845568865450644,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_043,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,72.61216518075962,99.53813769711253,6.289532294791752,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_043,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,72.78029057035728,99.9253622245341,6.297825294414255,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,35.772015942873665,55.12995173861796,3.827323592723026,2208
