split,zone,method,days,mean_revenue,mean_regret,median_regret,negative_revenue_days,revenue_p05,cvar_10,mean_imbalance_penalty
train,DE_LU,Rolling-28d mean FTO,418,22.632338660257467,12.974254682783933,9.06373406116437,21,0.12822438024236057,-0.9316696654717721,2.8902868026091886
train,DK_1,Fuzzy risk-aware FTO,1238,0.6112517808560087,20.69916476055019,17.013340918413316,704,-11.99334135284962,-13.332871113003147,6.104230764624081
train,DK_1,Hindsight optimum,1238,21.310416541406198,0.0,0.0,47,0.5885134782608716,0.3294869565217405,0.0
train,DK_1,Prev-day FTO,1238,5.398847089485207,15.91156945192099,12.391863071605288,533,-13.193674873755228,-14.433736067859456,6.222746666221757
train,DK_1,Robust quantile FTO,1238,7.954747413033831,13.355669128372366,10.817222391772454,437,-9.11943350108127,-9.756808538254978,6.063644663948682
train,DK_1,Rolling-28d mean FTO,1238,8.635536134780452,12.674880406625745,10.188402913516683,412,-8.71402272633055,-9.946761614715797,6.079766962782238
train,DK_2,Fuzzy risk-aware FTO,1238,6.374379610989783,18.40304653918231,13.711771315251074,412,-6.156643111899064,-7.164506414686521,2.790509459741412
train,DK_2,Hindsight optimum,1238,24.77742615017209,0.0,0.0,33,0.973355217391299,0.9395708976157102,0.0
train,DK_2,Prev-day FTO,1238,13.77619474503767,11.00123140513442,7.344157433663525,281,-5.547960417047918,-6.852835193104271,2.8342583771088545
train,DK_2,Robust quantile FTO,1238,15.164348145380217,9.613078004791873,6.462479393105539,218,-3.503530626590396,-4.086864259679035,2.787730550974356
train,DK_2,Rolling-28d mean FTO,1238,16.590847828890777,8.186578321281315,5.968776990463869,201,-3.6578972912882723,-4.127785882423671,2.8026449013192427
train,GB_GBN,Fuzzy risk-aware FTO,1234,17.638580350965693,25.111242029416243,20.612375911472476,45,1.0768513989345954,0.2882651976636805,1.4632525149352318
train,GB_GBN,Hindsight optimum,1234,42.749822380381936,0.0,0.0,0,23.020636956521738,22.5737084852735,0.0
train,GB_GBN,Prev-day FTO,1234,32.965237945688116,9.784584434693816,7.210441140021127,12,9.12656113736236,7.624531772052958,1.4956900509294577
train,GB_GBN,Robust quantile FTO,1234,32.970653979218255,9.779168401163679,6.045831189076463,1,13.128145523297464,12.73490747545897,1.4897584793822674
train,GB_GBN,Rolling-28d mean FTO,1234,35.08484772710413,7.6649746532778,5.615557884463804,1,13.431363914459915,12.372949496941025,1.486937742559738
validation,DE_LU,Fuzzy risk-aware FTO,139,11.149208724966098,24.64298101541551,18.77342410387365,19,-5.2823961491979405,-6.257553280724948,3.031352738906285
validation,DE_LU,Hindsight optimum,139,35.79218974038161,0.0,0.0,0,15.519047826086954,14.685525465838511,0.0
validation,DE_LU,Prev-day FTO,139,20.584716708324855,15.20747303205676,10.171061602500032,12,-4.741341545017106,-8.227996646983858,3.0367278334330488
validation,DE_LU,Robust quantile FTO,139,23.679305479012537,12.112884261369071,7.371918100998926,7,0.3950111524388302,-1.864417564065135,3.025194051797599
validation,DE_LU,Rolling-28d mean FTO,139,24.94141325271485,10.850776487666762,6.709867501661584,5,2.0424164559790006,-0.41892204302039227,3.0323031689304445
validation,DK_1,Fuzzy risk-aware FTO,413,2.024954001942221,26.408551293352026,21.913128761960827,203,-13.883760219363687,-16.02646336327579,6.358461473370973
validation,DK_1,Hindsight optimum,413,28.433505295294243,0.0,0.0,1,4.7966226086956585,4.345411801242239,0.0
validation,DK_1,Prev-day FTO,413,7.1165321049546995,21.31697319033955,14.362199502088913,145,-17.250253159124437,-20.962582526847658,6.760310931154367
validation,DK_1,Robust quantile FTO,413,12.65663063327387,15.776874662020374,11.31124764603259,100,-8.8630440515455,-10.106068838559532,6.227215034691181
validation,DK_1,Rolling-28d mean FTO,413,12.956869997428631,15.476635297865613,11.113128077785078,96,-7.743488389119095,-8.966734094346613,6.256530613161959
validation,DK_2,Fuzzy risk-aware FTO,413,5.801873196771253,23.51010873816927,18.93709312391281,147,-7.176523500444438,-8.189544874683298,2.919871428978828
validation,DK_2,Hindsight optimum,413,29.31198193494052,0.0,0.0,1,3.6111895652173973,3.764516563147003,0.0
validation,DK_2,Prev-day FTO,413,13.298560290589633,16.01342164435089,9.821245249258833,87,-7.766161019899439,-10.927121655063681,3.070380776891156
validation,DK_2,Robust quantile FTO,413,18.12562058384403,11.186361351096496,7.795038545119656,55,-3.9817962128643614,-3.857881479484037,2.9195565927008738
validation,DK_2,Rolling-28d mean FTO,413,18.60624201702492,10.705739917915604,7.235026708462826,53,-3.977790641854901,-4.186197158553081,2.9254638256953713
validation,GB_GBN,Fuzzy risk-aware FTO,411,14.994550833134268,20.07354477672504,17.56937760409029,19,0.4843143822001751,-0.6426230753139007,1.6724759096987
validation,GB_GBN,Hindsight optimum,411,35.068095609859306,0.0,0.0,0,21.25232608695653,20.741023395445136,0.0
validation,GB_GBN,Prev-day FTO,411,22.88649543381559,12.181600176043725,8.861439593503729,14,3.035099349340109,1.047581872716003,1.7785343556692403
validation,GB_GBN,Robust quantile FTO,411,26.567945191335614,8.50015041852369,6.2453927361266395,2,10.08280534631524,8.610381976694127,1.624593812155342
validation,GB_GBN,Rolling-28d mean FTO,411,26.75629983924795,8.311795770611358,6.082351724243438,2,10.36501708931777,9.266041822778925,1.6308405817824148
