dataset,zone,date,capacity_mwh,method,revenue,hindsight_revenue,regret,battery_revenue,flex_value,imbalance_penalty,negative_revenue
OPSD,DK_1,2019-03-06,1.0,Rolling-28d mean FTO,-13.342797918648849,25.94261739130434,39.28541530995319,-6.921378260869567,0.1484999999999971,6.5699196577792796,1
OPSD,DK_1,2019-03-06,1.0,Robust quantile FTO,-16.7482988159107,25.94261739130434,42.69091620721504,-8.625678260869556,-0.9629999999999981,7.1596205550411485,1
OPSD,DK_1,2019-03-06,1.0,Hindsight optimum,25.94261739130434,25.94261739130434,0.0,13.887117391304344,12.055499999999997,0.0,0
OPSD,DK_1,2019-03-07,1.0,Prev-day FTO,15.573997134302235,29.956060869565214,14.382063735262978,9.508734782608698,9.625499999999997,3.5602376483064577,0
OPSD,DK_1,2019-03-07,1.0,Rolling-28d mean FTO,2.6960876831287806,29.956060869565214,27.259973186436433,3.925300000000007,6.316500000000002,7.545712316871228,0
OPSD,DK_1,2019-03-07,1.0,Robust quantile FTO,5.569889935122262,29.956060869565214,24.38617093444295,7.098460869565223,7.881,9.40957093444296,0
OPSD,DK_1,2019-03-07,1.0,Hindsight optimum,29.956060869565214,29.956060869565214,0.0,16.481560869565214,13.474499999999997,0.0,0
OPSD,DK_1,2019-03-08,1.0,Prev-day FTO,-18.2138415569463,28.770617391304352,46.98445894825065,-4.754004347826083,0.10050000000000026,13.560337209120217,1
OPSD,DK_1,2019-03-08,1.0,Rolling-28d mean FTO,11.327654510532875,28.770617391304352,17.442962880771475,10.66554782608696,9.629999999999997,8.967893315554084,0
OPSD,DK_1,2019-03-08,1.0,Robust quantile FTO,16.568708387859246,28.770617391304352,12.201909003445106,12.790747826086957,11.015999999999996,7.238039438227708,0
OPSD,DK_1,2019-03-08,1.0,Hindsight optimum,28.770617391304352,28.770617391304352,0.0,15.989117391304351,12.781500000000001,0.0,0
OPSD,DK_1,2019-03-09,1.0,Prev-day FTO,12.79640803009762,34.75447826086957,21.95807023077195,10.840039130434786,7.8374999999999995,5.881131100337164,0
OPSD,DK_1,2019-03-09,1.0,Rolling-28d mean FTO,3.8204959996007837,34.75447826086957,30.933982261268785,10.47241739130435,7.368,14.019921391703566,0
OPSD,DK_1,2019-03-09,1.0,Robust quantile FTO,8.540231447693165,34.75447826086957,26.214246813176402,13.133517391304348,9.103499999999999,13.696785943611184,0
OPSD,DK_1,2019-03-09,1.0,Hindsight optimum,34.75447826086957,34.75447826086957,0.0,21.132978260869567,13.6215,0.0,0
OPSD,DK_1,2019-03-10,1.0,Prev-day FTO,-29.289785549061605,78.74976521739131,108.03955076645292,-8.700991304347827,-2.0340000000000025,18.554794244713776,1
OPSD,DK_1,2019-03-10,1.0,Rolling-28d mean FTO,69.05238255669808,78.74976521739131,9.697382660693236,47.10106521739131,29.9235,7.972182660693231,0
OPSD,DK_1,2019-03-10,1.0,Robust quantile FTO,70.37623030350743,78.74976521739131,8.373534913883887,48.14526521739131,30.6045,8.373534913883892,0
OPSD,DK_1,2019-03-10,1.0,Hindsight optimum,78.74976521739131,78.74976521739131,0.0,48.14526521739131,30.6045,0.0,0
OPSD,DK_1,2019-03-11,1.0,Prev-day FTO,-5.671468062982355,7.0934434782608715,12.764911541243226,0.6000913043478278,4.783499999999997,11.05505936733018,1
OPSD,DK_1,2019-03-11,1.0,Rolling-28d mean FTO,-4.185248276684929,7.0934434782608715,11.2786917549458,0.917491304347827,4.990499999999997,10.093239581032753,1
OPSD,DK_1,2019-03-11,1.0,Robust quantile FTO,-4.094614625769112,7.0934434782608715,11.188058104029984,0.6000913043478278,4.783499999999997,9.478205930116937,1
OPSD,DK_1,2019-03-11,1.0,Hindsight optimum,7.0934434782608715,7.0934434782608715,0.0,1.6544434782608732,5.438999999999998,0.0,0
OPSD,DK_1,2019-03-12,1.0,Prev-day FTO,-0.9794688000533753,49.71351304347826,50.69298184353163,5.472030434782617,7.2825000000000015,13.733999234835995,1
OPSD,DK_1,2019-03-12,1.0,Rolling-28d mean FTO,-12.85691333338789,49.71351304347826,62.57042637686615,-5.260943478260863,1.1745000000000019,8.770469855127029,1
OPSD,DK_1,2019-03-12,1.0,Robust quantile FTO,-21.939409442461802,49.71351304347826,71.65292248594005,-9.48374347826087,-1.5795000000000001,10.876165964200935,1
OPSD,DK_1,2019-03-12,1.0,Hindsight optimum,49.71351304347826,49.71351304347826,0.0,29.08851304347826,20.625,0.0,0
OPSD,DK_1,2019-03-13,1.0,Prev-day FTO,-9.006768919827918,21.466869565217387,30.473638485045306,-1.6660782608695683,2.7869999999999977,10.127690658958347,1
OPSD,DK_1,2019-03-13,1.0,Rolling-28d mean FTO,10.358841934278255,21.466869565217387,11.108027630939132,7.317839130434791,8.0385,4.997497196156537,0
OPSD,DK_1,2019-03-13,1.0,Robust quantile FTO,17.36440305073121,21.466869565217387,4.102466514486178,11.05536956521739,10.126499999999997,3.8174665144861786,0
OPSD,DK_1,2019-03-13,1.0,Hindsight optimum,21.466869565217387,21.466869565217387,0.0,11.22786956521739,10.238999999999995,0.0,0
OPSD,DK_1,2019-03-14,1.0,Prev-day FTO,9.339112365414167,17.209400000000002,7.870287634585836,6.6439956521739205,7.690500000000001,4.995383286759754,0
