split,zone,risk_weight,days,mean_revenue,mean_regret,median_regret,negative_revenue_days,revenue_p05,cvar_10,mean_imbalance_penalty
train,DK_2,0.25,1238,16.69291203916845,8.084514111003637,5.950076295759159,202,-3.6578972912882723,-4.122062203101986,2.8042304065715253
train,DK_2,0.5,1238,16.69291203916845,8.084514111003637,5.950076295759159,202,-3.6578972912882723,-4.122062203101986,2.8042304065715253
train,DK_2,0.75,1238,16.628116544838367,8.149309605333725,5.975754093498466,201,-3.3085210317250593,-3.9948075648560457,2.797099083454114
train,DK_2,1.0,1238,16.628116544838367,8.149309605333725,5.975754093498466,201,-3.3085210317250593,-3.9948075648560457,2.797099083454114
train,DK_2,1.5,1238,16.628116544838367,8.149309605333725,5.975754093498466,201,-3.3085210317250593,-3.9948075648560457,2.797099083454114
train,DK_2,2.0,1238,16.628116544838367,8.149309605333725,5.975754093498466,201,-3.3085210317250593,-3.9948075648560457,2.797099083454114
train,GB_GBN,0.0,1234,35.12870807657166,7.621114303810267,5.670736532332008,0,12.930230604505988,12.288676410897015,1.4795992731570375
train,GB_GBN,0.25,1234,35.08484772710413,7.6649746532778,5.615557884463804,1,13.431363914459915,12.372949496941025,1.486937742559738
train,GB_GBN,0.5,1234,35.08484772710413,7.6649746532778,5.615557884463804,1,13.431363914459915,12.372949496941025,1.486937742559738
train,GB_GBN,0.75,1234,35.08484772710413,7.6649746532778,5.615557884463804,1,13.431363914459915,12.372949496941025,1.486937742559738
train,GB_GBN,1.0,1234,35.08484772710413,7.6649746532778,5.615557884463804,1,13.431363914459915,12.372949496941025,1.486937742559738
train,GB_GBN,1.5,1234,35.08484772710413,7.6649746532778,5.615557884463804,1,13.431363914459915,12.372949496941025,1.486937742559738
train,GB_GBN,2.0,1234,35.08484772710413,7.6649746532778,5.615557884463804,1,13.431363914459915,12.372949496941025,1.486937742559738
validation,DE_LU,0.0,139,24.4653438175356,11.326845922846008,6.732424931831879,7,0.5727293223390494,-2.0602701326336472,3.019884521532278
validation,DE_LU,0.25,139,24.43685614563461,11.355333594746993,6.972766750862689,7,0.5727293223390494,-1.9269909784791561,3.032598092713838
validation,DE_LU,0.5,139,24.43685614563461,11.355333594746993,6.972766750862689,7,0.5727293223390494,-1.9269909784791561,3.032598092713838
validation,DE_LU,0.75,139,24.910264849165507,10.881924891216103,6.669160898790196,6,0.6587399344878223,-1.0228897802971488,3.0313855105467242
validation,DE_LU,1.0,139,24.910264849165507,10.881924891216103,6.669160898790196,6,0.6587399344878223,-1.0228897802971488,3.0313855105467242
validation,DE_LU,1.5,139,24.910264849165507,10.881924891216103,6.669160898790196,6,0.6587399344878223,-1.0228897802971488,3.0313855105467242
validation,DE_LU,2.0,139,24.910264849165507,10.881924891216103,6.669160898790196,6,0.6587399344878223,-1.0228897802971488,3.0313855105467242
validation,DK_1,0.0,413,13.057831954963023,15.375673340331222,11.174327693046369,96,-7.273606410550771,-8.872695536029122,6.243521176945604
validation,DK_1,0.25,413,12.938507239235769,15.494998056058474,11.34334427176103,100,-7.102518824670734,-8.541472223290775,6.233066231655907
validation,DK_1,0.5,413,12.938507239235769,15.494998056058474,11.34334427176103,100,-7.102518824670734,-8.541472223290775,6.233066231655907
validation,DK_1,0.75,413,12.938507239235769,15.494998056058474,11.34334427176103,100,-7.102518824670734,-8.541472223290775,6.233066231655907
validation,DK_1,1.0,413,12.938507239235769,15.494998056058474,11.34334427176103,100,-7.102518824670734,-8.541472223290775,6.233066231655907
validation,DK_1,1.5,413,12.938507239235769,15.494998056058474,11.34334427176103,100,-7.102518824670734,-8.541472223290775,6.233066231655907
validation,DK_1,2.0,413,12.938507239235769,15.494998056058474,11.34334427176103,100,-7.102518824670734,-8.541472223290775,6.233066231655907
validation,DK_2,0.0,413,18.526434179078827,10.785547755861698,7.452176715455416,50,-3.9986074411233274,-4.640208426369411,2.9453865178366443
validation,DK_2,0.25,413,18.6891186757769,10.622863259163625,7.173804361379348,51,-3.925950219385261,-3.904309598570527,2.9337359194436545
validation,DK_2,0.5,413,18.6891186757769,10.622863259163625,7.173804361379348,51,-3.925950219385261,-3.904309598570527,2.9337359194436545
validation,DK_2,0.75,413,18.540982004954554,10.770999929985972,7.530401584080494,50,-3.7046329195922914,-3.7269815992879956,2.9325960769488097
validation,DK_2,1.0,413,18.540982004954554,10.770999929985972,7.530401584080494,50,-3.7046329195922914,-3.7269815992879956,2.9325960769488097
validation,DK_2,1.5,413,18.540982004954554,10.770999929985972,7.530401584080494,50,-3.7046329195922914,-3.7269815992879956,2.9325960769488097
validation,DK_2,2.0,413,18.540982004954554,10.770999929985972,7.530401584080494,50,-3.7046329195922914,-3.7269815992879956,2.9325960769488097
